frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
80,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.240822,0.603528,-0.553133,-0.521347,-0.959110,3.307110,2.891110
81,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.253894,0.590439,-0.558755,-0.524131,-1.077910,3.452310,2.984010
82,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.267154,0.576436,-0.564489,-0.526974,-1.195410,3.593510,3.073110
83,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.280576,-0.561517,0.570294,0.529849,-1.311910,3.730810,3.158610
84,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.294123,-0.545672,0.576136,0.532730,-1.427610,3.864210,3.240710
85,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.307755,-0.528900,0.581971,0.535595,-1.542710,3.993710,3.319610
86,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.321442,-0.511194,0.587757,0.538422,-1.630710,4.053210,3.340910
87,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.334940,-0.492830,0.593386,0.541135,-1.693010,4.049910,3.313710
88,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.348044,-0.474083,0.598761,0.543687,-1.753910,4.043910,3.289310
89,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.360754,-0.454969,0.603885,0.546061,-1.813310,4.035410,3.267510
