frame,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
69,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.500609,-0.500615,0.705746,-0.026405,4.439710,0.000000,3.246310
70,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.506900,-0.506905,0.695713,-0.045643,4.439710,0.000000,3.246310
71,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.512915,-0.512920,0.685292,-0.064854,4.439710,0.000000,3.246310
72,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.518644,-0.518650,0.674499,-0.084032,4.439710,0.000000,3.246310
73,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.524088,-0.524098,0.663333,-0.103162,4.439710,0.000000,3.246310
74,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.529245,-0.529256,0.651802,-0.122238,4.439710,0.000000,3.246310
75,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.534111,-0.534122,0.639913,-0.141244,4.439710,0.000000,3.246310
76,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.538686,-0.538697,0.627668,-0.160175,4.439710,0.000000,3.246310
77,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.542964,-0.542975,0.615079,-0.179013,4.439710,0.000000,3.246310
78,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.546940,-0.546951,0.602158,-0.197755,4.439710,0.000000,3.246310
79,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.550619,-0.550630,0.588898,-0.216389,4.439710,0.000000,3.246310
80,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.553991,-0.554007,0.575317,-0.234904,4.439710,0.000000,3.246310
81,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.557061,-0.557077,0.561421,-0.253289,4.439710,0.000000,3.246310
82,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.559823,0.559842,-0.547215,0.271535,4.439710,0.000000,3.246310
83,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.562277,0.562300,-0.532709,0.289629,4.439710,0.000000,3.246310
84,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.564425,0.564443,-0.517910,0.307567,4.439710,0.000000,3.246310
85,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.566259,0.566279,-0.502827,0.325337,4.439710,0.000000,3.246310
86,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.567780,0.567806,-0.487468,0.342924,4.439710,0.000000,3.246310
87,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.568994,0.569015,-0.471839,0.360328,4.439710,0.000000,3.246310
88,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.569895,0.569910,-0.455951,0.377532,4.439710,0.000000,3.246310
