frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
98,-1942.409912,0.000000,93.150002,-2254.650879,0.000000,0.000000,-0.000003,0.850049,-0.000003,-0.526704,0.000000,-5.085910,0.000000
99,-1961.179932,0.000000,93.150002,-2252.180908,0.000000,0.000000,-0.000003,0.861128,-0.000003,-0.508389,0.000000,-5.137810,0.000000
100,-1979.929932,0.000000,93.150002,-2249.710938,0.000000,0.000000,-0.000003,0.871918,-0.000003,-0.489652,0.000000,-5.189710,0.000000
101,-1998.659912,0.000000,93.150002,-2247.240967,0.000000,0.000000,-0.000003,0.882402,-0.000003,-0.470495,0.000000,-5.241610,0.000000
102,-2017.369995,0.000000,93.150002,-2244.770996,0.000000,0.000000,-0.000003,0.892565,-0.000003,-0.450918,0.000000,-5.293510,0.000000
103,-2036.059937,0.000000,93.150002,-2242.301025,0.000000,0.000000,-0.000003,0.902385,-0.000003,-0.430930,0.000000,-5.345410,0.000000
104,-2054.729980,0.000000,93.150002,-2239.830811,0.000000,0.000000,-0.000003,0.911849,-0.000003,-0.410527,0.000000,-5.397310,0.000000
105,-2073.369873,0.000000,93.150002,-2237.360840,0.000000,0.000000,-0.000003,0.920934,-0.000003,-0.389719,0.000000,-5.449210,0.000000
106,-2091.989990,0.000000,93.150002,-2234.890869,0.000000,0.000000,-0.000003,0.929623,-0.000003,-0.368512,0.000000,-5.501110,0.000000
107,-2110.589844,0.000000,93.150002,-2232.420898,0.000000,0.000000,-0.000003,0.937900,-0.000003,-0.346906,0.000000,-5.553010,0.000000
108,-2129.169922,0.000000,93.150002,-2229.950928,0.000000,0.000000,-0.000003,0.945745,-0.000003,-0.324911,0.000000,-5.604910,0.000000
109,-2147.729980,0.000000,93.150002,-2227.480957,0.000000,0.000000,-0.000003,0.953139,-0.000003,-0.302533,0.000000,-5.656810,0.000000
110,-2166.270020,0.000000,93.150002,-2225.010986,0.000000,0.000000,-0.000003,0.960065,-0.000003,-0.279778,0.000000,-5.708710,0.000000
111,-2184.790039,0.000000,93.150002,-2222.551025,0.000000,0.000000,-0.000003,0.966503,-0.000003,-0.256656,0.000000,-5.760610,0.000000
112,-2203.290039,0.000000,93.150002,-2220.090820,0.000000,0.000000,-0.000003,0.972434,-0.000003,-0.233177,0.000000,-5.812510,0.000000
113,-2221.770020,0.000000,93.150002,-2217.630859,0.000000,0.000000,-0.000003,0.977841,-0.000003,-0.209349,0.000000,-5.864410,0.000000
114,-2240.229980,0.000000,93.150002,-2215.170898,0.000000,0.000000,-0.000003,0.982705,-0.000003,-0.185180,0.000000,-5.916310,0.000000
115,-2258.669922,0.000000,93.150002,-2212.710938,0.000000,0.000000,-0.000003,0.987005,-0.000003,-0.160687,0.000000,-5.968210,0.000000
116,-2277.089844,0.000000,93.150002,-2210.250977,0.000000,0.000000,-0.000003,0.990725,-0.000003,-0.135882,0.000000,-6.000010,0.000000
117,-2295.489990,0.000000,93.150002,-2207.791016,0.000000,0.000000,-0.000003,0.993836,-0.000003,-0.110861,0.000000,-5.999910,0.000000
118,-2313.869873,0.000000,93.150002,-2205.330811,0.000000,0.000000,-0.000003,0.996315,-0.000003,-0.085770,0.000000,-5.999910,0.000000
119,-2332.229980,0.000000,93.150002,-2202.870850,0.000000,0.000000,-0.000003,0.998161,-0.000003,-0.060624,0.000000,-5.999910,0.000000
120,-2350.570068,0.000000,93.150002,-2200.410889,0.000000,0.000000,-0.000003,0.999372,-0.000003,-0.035436,0.000000,-5.999910,0.000000
121,-2368.889893,0.000000,93.150002,-2197.950928,0.000000,0.000000,-0.000003,0.999948,-0.000003,-0.010226,0.000000,-5.999910,0.000000
122,-2387.189941,0.000000,93.150002,-2195.490967,0.000000,0.000000,-0.000003,0.999888,-0.000003,0.014990,0.000000,-5.999910,0.000000
123,-2405.469971,0.000000,93.150002,-2193.031006,0.000000,0.000000,-0.000003,0.999192,-0.000003,0.040194,0.000000,-5.999910,0.000000
124,-2423.719971,0.000000,93.150002,-2190.571045,0.000000,0.000000,-0.000003,0.997861,-0.000003,0.065372,0.000000,-5.999910,0.000000
125,-2441.949951,0.000000,93.150002,-2188.110840,0.000000,0.000000,-0.000003,0.995895,-0.000003,0.090512,0.000000,-5.999910,0.000000
126,-2460.159912,0.000000,93.150002,-2185.650879,0.000000,0.000000,-0.000003,0.993297,-0.000003,0.115592,0.000000,-5.999910,0.000000
127,-2478.349854,0.000000,93.150002,-2183.200928,0.000000,0.000000,-0.000003,0.990067,-0.000003,0.140597,0.000000,-5.999910,0.000000
128,-2496.520020,0.000000,93.150002,-2180.750977,0.000000,0.000000,-0.000003,0.986207,-0.000003,0.165516,0.000000,-5.999910,0.000000
129,-2514.669922,0.000000,93.150002,-2178.301025,0.000000,0.000000,-0.000003,0.981721,-0.000003,0.190326,0.000000,-5.999910,0.000000
130,-2532.800049,0.000000,93.150002,-2175.850830,0.000000,0.000000,-0.000003,0.976610,-0.000003,0.215019,0.000000,-5.999910,0.000000
131,-2550.909912,0.000000,93.150002,-2173.400879,0.000000,0.000000,-0.000003,0.970878,-0.000003,0.239576,0.000000,-5.999910,0.000000
132,-2569.000000,0.000000,93.150002,-2170.950928,0.000000,0.000000,-0.000003,0.964529,-0.000003,0.263976,0.000000,-5.999910,0.000000
133,-2587.069824,0.000000,93.150002,-2168.500977,0.000000,0.000000,-0.000003,0.957567,-0.000003,0.288210,0.000000,-5.999910,0.000000
134,-2605.119873,0.000000,93.150002,-2166.051025,0.000000,0.000000,-0.000003,0.949997,-0.000003,0.312260,0.000000,-5.999910,0.000000
135,-2623.149902,0.000000,93.150002,-2163.600830,0.000000,0.000000,-0.000003,0.941821,-0.000003,0.336116,0.000000,-5.999910,0.000000
136,-2641.159912,0.000000,93.150002,-2161.150879,0.000000,0.000000,-0.000003,0.933046,-0.000003,0.359756,0.000000,-5.999910,0.000000
137,-2659.149902,0.000000,93.150002,-2158.700928,0.000000,0.000000,-0.000003,0.923678,-0.000003,0.383170,0.000000,-5.999910,0.000000
138,-2677.119873,0.000000,93.150002,-2156.250977,0.000000,0.000000,-0.000003,0.913724,-0.000003,0.406335,0.000000,-5.999910,0.000000
139,-2695.069824,0.000000,93.150002,-2153.801025,0.000000,0.000000,-0.000003,0.903190,-0.000003,0.429241,0.000000,-5.999910,0.000000
140,-2713.000000,0.000000,93.150002,-2151.350830,0.000000,0.000000,-0.000003,0.892080,-0.000003,0.451878,0.000000,-5.999910,0.000000
141,-2730.909912,0.000000,93.150002,-2148.900879,0.000000,0.000000,-0.000003,0.880402,-0.000003,0.474229,0.000000,-5.999910,0.000000
142,-2748.800049,0.000000,93.150002,-2146.450928,0.000000,0.000000,-0.000003,0.868164,-0.000003,0.496277,0.000000,-5.999910,0.000000
143,-2766.669922,0.000000,93.150002,-2144.010986,0.000000,0.000000,-0.000003,0.855376,-0.000003,0.518008,0.000000,-5.999910,0.000000
144,-2784.520020,0.000000,93.150002,-2141.571045,0.000000,0.000000,-0.000003,0.842044,-0.000003,0.539409,0.000000,-5.999910,0.000000
145,-2802.349854,0.000000,93.150002,-2139.130859,0.000000,0.000000,-0.000003,0.828175,-0.000003,0.560470,0.000000,-5.999910,0.000000
146,-2820.159912,0.000000,93.150002,-2136.690918,0.000000,0.000000,-0.000003,0.813778,-0.000003,0.581175,0.000000,-5.999910,0.000000
