frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
38,True,True,-1.000000,1.000000,0.000000,-62.070000,1002.039978,0.000000,420.920990,0.591000,-0.628720,0.628727,0.323589,0.323578,-5.500010,0.000000,0.000000,0.000000,202.449997,983.630005,0.000000,789.350952,-61.410999,0.291700,0.000003,0.000003,0.956510,2.291710,0.000000,0.000000
39,True,True,-1.000000,1.000000,0.000000,-58.559998,1002.039978,0.000000,420.920990,0.591000,-0.638188,0.638195,0.304492,0.304481,-5.499910,0.000000,0.000000,0.000000,209.029999,983.119995,0.000000,789.150940,-61.390999,0.300823,0.000003,0.000003,0.953680,2.291710,0.000000,0.000000
40,True,True,-1.000000,1.000000,0.000000,-55.049999,1002.039978,0.000000,420.920990,0.591000,-0.647073,0.647083,0.285119,0.285108,-5.499910,0.000000,0.000000,0.000000,215.599991,982.609985,0.000000,788.950989,-61.370998,0.309913,0.000003,0.000003,0.950765,2.291710,0.000000,0.000000
41,True,True,-1.000000,1.000000,0.000000,-51.539997,1002.039978,0.000000,420.920990,0.591000,-0.655370,0.655384,0.265487,0.265476,-5.499910,0.000000,0.000000,0.000000,222.169998,982.099976,0.000000,788.750977,-61.350998,0.318977,0.000003,0.000003,0.947763,2.291710,0.000000,0.000000
42,True,True,-1.000000,1.000000,0.000000,-48.029999,1002.039978,0.000000,420.920990,0.591000,-0.663074,0.663089,0.245613,0.245602,-5.499910,0.000000,0.000000,0.000000,228.739990,981.589966,0.000000,788.550964,-61.330997,0.328013,0.000003,0.000003,0.944673,2.291710,0.000000,0.000000
43,True,True,-1.000000,1.000000,0.000000,-44.520000,1002.039978,0.000000,420.920990,0.591000,-0.670174,0.670191,0.225517,0.225506,-5.499910,0.000000,0.000000,0.000000,235.309998,981.079956,0.000000,788.350952,-61.310997,0.337017,0.000003,0.000003,0.941499,2.291710,0.000000,0.000000
44,True,True,-1.000000,1.000000,0.000000,-41.009998,1002.039978,0.000000,420.920990,0.591000,-0.676664,0.676685,0.205216,0.205205,-5.500010,0.000000,0.000000,0.000000,241.879990,980.570007,0.000000,788.150940,-61.290997,0.345994,0.000003,0.000003,0.938237,2.291710,0.000000,0.000000
45,True,True,-1.000000,1.000000,0.000000,-37.500000,1002.039978,0.000000,420.920990,0.591000,-0.682544,0.682561,0.184727,0.184716,-5.500010,0.000000,0.000000,0.000000,248.449997,980.059998,0.000000,787.950989,-61.271000,0.354938,0.000003,0.000003,0.934889,2.291710,0.000000,0.000000
46,True,True,-1.000000,1.000000,0.000000,-33.989998,1002.039978,0.000000,420.920990,0.591000,-0.687804,0.687816,0.164070,0.164059,-5.500010,0.000000,0.000000,0.000000,255.009995,979.549988,0.000000,787.750977,-61.250999,0.363851,0.000003,0.000003,0.931457,2.291710,0.000000,0.000000
47,True,True,-1.000000,1.000000,0.000000,-30.480000,1002.039978,0.000000,420.920990,0.591000,-0.692438,0.692448,0.143262,0.143251,-5.500010,0.000000,0.000000,0.000000,261.570007,979.039978,0.000000,787.550964,-61.230999,0.372731,0.000003,0.000003,0.927940,2.291710,0.000000,0.000000
48,True,True,-1.000000,1.000000,0.000000,-26.969999,1002.039978,0.000000,420.920990,0.591000,-0.696441,0.696452,0.122325,0.122314,-5.500010,0.000000,0.000000,0.000000,268.130005,978.529968,0.000000,787.350952,-61.210999,0.381573,0.000003,0.000003,0.924339,2.291710,0.000000,0.000000
