frame,input.bJump,input.bJumped,input.Yaw,input.DodgeStrafe,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
70,False,False,0.000000,0.000000,0.000000,0.690000,0.000000,188.659988,1.031000,0.000000,136.641006,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
71,True,True,-1.000000,-1.000000,1.000000,0.700000,0.000000,189.750000,1.031000,0.000000,131.221008,-0.001330,0.003008,-0.000310,0.999995,-0.320010,-0.000310,-0.073910
72,False,False,0.000000,-1.000000,0.000000,0.710000,0.000000,190.800003,1.031000,0.000000,125.800995,-0.002608,0.003008,-0.000618,0.999992,-0.307210,-0.000310,-0.072710
73,False,False,0.000000,-1.000000,0.000000,0.720000,0.000000,191.800003,1.031000,0.000000,120.380997,-0.003838,0.003008,-0.000920,0.999988,-0.294910,-0.000310,-0.071510
74,False,False,0.000000,-1.000000,0.000000,0.730000,0.000000,192.759995,1.031000,0.000000,114.960999,-0.005020,0.003008,-0.001217,0.999982,-0.283110,-0.000310,-0.070410
75,False,False,0.000000,-1.000000,0.000000,0.740000,0.000000,193.669998,1.031000,0.000000,109.541000,-0.006153,0.003008,-0.001508,0.999975,-0.271810,-0.000310,-0.069310
76,False,False,0.000000,-1.000000,0.000000,0.750000,0.000000,194.539993,1.031000,0.000000,104.120995,-0.007237,0.003008,-0.001794,0.999968,-0.260910,-0.000310,-0.068210
77,False,False,0.000000,-1.000000,0.000000,0.760000,0.000000,195.360001,1.031000,0.000000,98.700996,-0.008278,0.003008,-0.002074,0.999959,-0.250410,-0.000310,-0.067110
78,False,False,0.000000,-1.000000,0.000000,0.770000,0.000000,196.139999,1.031000,0.000000,93.280998,-0.009282,0.003008,-0.002355,0.999950,-0.240410,-0.000310,-0.066010
79,False,False,0.000000,-1.000000,0.000000,0.780000,0.000000,196.869995,1.031000,0.000000,87.861000,-0.010242,0.003008,-0.002630,0.999940,-0.230810,-0.000310,-0.064910
