frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
62,True,True,-1.000000,1.000000,0.000000,18.650000,1002.690002,0.000000,414.161011,0.671000,-0.686310,0.686330,-0.170182,-0.170198,-5.499910,0.000000,0.000000,0.000000,379.539978,964.309998,0.000000,824.490967,-75.890999,0.342142,0.000003,0.000003,0.939648,1.523710,0.000000,0.000000
63,True,True,-1.000000,1.000000,0.000000,22.100000,1002.699951,0.000000,414.161011,0.671000,-0.680866,0.680891,-0.190790,-0.190807,-5.500010,0.000000,0.000000,0.000000,386.410004,963.679993,0.000000,824.280945,-75.870995,0.348103,0.000003,0.000003,0.937456,1.523710,0.000000,0.000000
64,True,True,-1.000000,1.000000,0.000000,25.549999,1002.709961,0.000000,414.161011,0.671000,-0.674808,0.674829,-0.211226,-0.211242,-5.500010,0.000000,0.000000,0.000000,393.279999,963.049988,0.000000,824.070984,-75.850998,0.354048,0.000003,0.000003,0.935227,1.523710,0.000000,0.000000
65,True,True,-1.000000,1.000000,0.000000,29.000000,1002.719971,0.000000,414.161011,0.671000,-0.668135,0.668158,-0.231467,-0.231484,-5.499910,0.000000,0.000000,0.000000,400.149994,962.419983,0.000000,823.860962,-75.831001,0.359977,0.000003,0.000003,0.932961,1.523710,0.000000,0.000000
66,True,True,-1.000000,1.000000,0.000000,32.450001,1002.729980,0.000000,414.161011,0.671000,-0.660852,0.660881,-0.251498,-0.251514,-5.500010,0.000000,0.000000,0.000000,407.009979,961.789978,0.000000,823.650940,-75.810997,0.365895,0.000003,0.000003,0.930656,1.523710,0.000000,0.000000
67,True,True,-1.000000,1.000000,0.000000,35.899998,1002.739990,0.000000,414.161011,0.671000,-0.652970,0.653002,-0.271303,-0.271319,-5.499910,0.000000,0.000000,0.000000,413.869995,961.159973,0.000000,823.440979,-75.791000,0.371797,0.000003,0.000003,0.928314,1.523710,0.000000,0.000000
68,True,True,-1.000000,1.000000,0.000000,39.349998,1002.750000,0.000000,414.161011,0.671000,-0.644495,0.644531,-0.290859,-0.290875,-5.499910,0.000000,0.000000,0.000000,420.729980,960.529968,0.000000,823.230957,-75.770996,0.377683,0.000003,0.000003,0.925935,1.523710,0.000000,0.000000
69,True,True,-1.000000,1.000000,0.000000,42.799999,1002.759949,0.000000,414.161011,0.671000,-0.635437,0.635471,-0.310151,-0.310167,-5.499910,0.000000,0.000000,0.000000,427.589996,959.899963,0.000000,823.020935,-75.750999,0.383553,0.000003,0.000003,0.923519,1.523710,0.000000,0.000000
70,True,True,-1.000000,1.000000,0.000000,46.250000,1002.769958,0.000000,414.161011,0.671000,-0.625802,0.625833,-0.329162,-0.329178,-5.499910,0.000000,0.000000,0.000000,434.449982,959.269958,0.000000,822.810974,-75.730995,0.389406,0.000003,0.000003,0.921066,1.523710,0.000000,0.000000
71,True,True,-1.000000,1.000000,0.000000,49.700001,1002.779968,0.000000,414.161011,0.671000,-0.615595,0.615626,-0.347877,-0.347893,-5.499910,0.000000,0.000000,0.000000,441.299988,958.639954,0.000000,822.600952,-75.710999,0.395249,0.000003,0.000003,0.918574,1.523710,0.000000,0.000000
72,True,True,-1.000000,1.000000,0.000000,53.149998,1002.789978,0.000000,414.161011,0.671000,-0.604832,0.604859,-0.366273,-0.366289,-5.500010,0.000000,0.000000,0.000000,448.149994,958.009949,0.000000,822.390930,-75.690994,0.401075,0.000003,0.000003,0.916045,1.523710,0.000000,0.000000
73,True,True,-1.000000,1.000000,0.000000,56.599998,1002.799988,0.000000,414.161011,0.671000,-0.593519,0.593545,-0.384335,-0.384351,-5.500010,0.000000,0.000000,0.000000,455.000000,957.380005,0.000000,822.180969,-75.670998,0.406885,0.000003,0.000003,0.913479,1.523710,0.000000,0.000000
74,True,True,-1.000000,1.000000,0.000000,60.049999,1002.809998,0.000000,414.161011,0.671000,-0.581666,0.581688,-0.402051,-0.402068,-5.499910,0.000000,0.000000,0.000000,461.849976,956.750000,0.000000,821.970947,-75.651001,0.412674,0.000003,0.000003,0.910879,1.523710,0.000000,0.000000
75,True,True,-1.000000,1.000000,0.000000,63.500000,1002.820007,0.000000,414.161011,0.671000,-0.569285,0.569303,-0.419401,-0.419417,-5.500010,0.000000,0.000000,0.000000,468.699982,956.119995,0.000000,821.760986,-75.630997,0.418446,0.000003,0.000003,0.908242,1.523710,0.000000,0.000000
76,True,True,-1.000000,1.000000,0.000000,66.949997,1002.829956,0.000000,414.161011,0.671000,-0.556386,0.556405,-0.436368,-0.436384,-5.499910,0.000000,0.000000,0.000000,475.549988,955.489990,0.000000,821.550964,-75.611000,0.424203,0.000003,0.000003,0.905567,1.523710,0.000000,0.000000
77,True,True,-1.000000,1.000000,0.000000,70.400002,1002.839966,0.000000,414.161011,0.671000,-0.542980,0.542998,-0.452941,-0.452957,-5.499910,0.000000,0.000000,0.000000,482.389984,954.859985,0.000000,821.340942,-75.590996,0.429943,0.000003,0.000003,0.902856,1.523710,0.000000,0.000000
