frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
66,1.000000,True,True,-2000.000000,-4193.549805,18.340000,0.000000,1054.480957,-0.241000,-0.005986,0.005991,0.707074,0.707088,-0.000910,0.000000,0.000000
67,1.000000,True,True,-2000.000000,-4184.659668,18.340000,0.000000,1067.031006,-0.241000,-0.005991,0.005996,0.707074,0.707088,-0.000910,0.000000,0.000000
68,1.000000,True,True,-2000.000000,-4175.659668,18.340000,0.000000,1079.480957,-0.241000,-0.005996,0.005996,0.707074,0.707088,-0.000810,0.000000,0.000000
69,1.000000,True,True,-2000.000000,-4166.560059,18.340000,0.000000,1091.820923,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
70,1.000000,True,True,-2000.000000,-4157.359863,18.340000,0.000000,1104.050903,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
71,1.000000,True,True,-2000.000000,-4148.060059,18.340000,0.000000,1116.180908,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
72,1.000000,True,True,-2000.000000,-4138.659668,18.340000,0.000000,1128.210938,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
73,1.000000,True,True,-2000.000000,-4129.159668,18.340000,0.000000,1140.130981,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
74,1.000000,True,True,-2000.000000,-4119.560059,18.340000,0.000000,1151.950928,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
75,1.000000,True,True,-2000.000000,-4109.859863,18.340000,0.000000,1163.670898,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
76,1.000000,True,True,-2000.000000,-4100.069824,18.340000,0.000000,1175.290894,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
77,1.000000,True,True,-2000.000000,-4090.179932,18.340000,0.000000,1186.810913,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
78,1.000000,True,True,-2000.000000,-4080.189941,18.340000,0.000000,1198.230957,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
79,1.000000,True,True,-2000.000000,-4070.109863,18.340000,0.000000,1209.550903,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000710,0.000000,0.000000
80,1.000000,True,True,-2000.000000,-4059.939941,18.340000,0.000000,1220.781006,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000810,0.000000,0.000000
81,1.000000,True,True,-2000.000000,-4049.669922,18.340000,0.000000,1231.910889,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000810,0.000000,0.000000
82,1.000000,True,True,-2000.000000,-4039.309814,18.340000,0.000000,1242.940918,-0.251000,-0.005996,0.005996,0.707074,0.707088,-0.000810,0.000000,0.000000
83,1.000000,True,True,-2000.000000,-4028.859863,18.340000,0.000000,1253.880981,-0.251000,-0.005996,0.006002,0.707074,0.707088,-0.000910,0.000000,0.000000
84,1.000000,True,True,-2000.000000,-4018.319824,18.340000,0.000000,1264.730957,-0.251000,-0.006002,0.006007,0.707074,0.707088,-0.000910,0.000000,0.000000
85,1.000000,True,True,-2000.000000,-4007.689941,18.340000,0.000000,1275.480957,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000810,0.000000,0.000000
86,1.000000,True,True,-2000.000000,-3996.969971,18.340000,0.000000,1286.140991,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
87,1.000000,True,True,-2000.000000,-3986.159912,18.340000,0.000000,1296.710938,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
