frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
70,False,False,0.000000,0.000000,0.710000,0.000000,194.800003,1.040000,0.000000,147.429993,0.000003,0.003202,0.000003,0.999995,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,3.660000,2.950000,195.979996,354.589996,353.559998,142.009995,-0.006385,0.008688,0.000337,0.999942,-1.532800,1.316600,0.085700
72,True,True,-1.000000,1.000000,6.610000,5.900000,197.119995,354.589996,353.559998,136.589996,-0.018901,0.019527,0.001012,0.999630,-3.004300,2.601700,0.170700
73,True,True,-1.000000,1.000000,9.559999,8.849999,198.209991,354.589996,353.559998,131.169998,-0.037297,0.035582,0.002015,0.998668,-4.139300,3.613700,0.238300
74,True,True,-1.000000,1.000000,12.509999,11.800000,199.259995,354.589996,353.559998,125.750000,-0.060198,0.055715,0.003283,0.996625,-4.125600,3.629200,0.239500
75,True,True,-1.000000,1.000000,15.460000,14.750000,200.259995,354.589996,353.559998,120.329994,-0.082986,0.075859,0.004551,0.993649,-4.115600,3.640500,0.239500
76,True,True,-1.000000,1.000000,18.410000,17.699999,201.220001,354.589996,353.559998,114.909996,-0.105655,0.095976,0.005818,0.989743,-4.108400,3.648800,0.238900
77,True,True,-1.000000,1.000000,21.359999,20.650000,202.129990,354.589996,353.559998,109.489998,-0.128200,0.116040,0.007086,0.984911,-4.103100,3.654700,0.238000
78,True,True,-1.000000,1.000000,24.309999,23.600000,203.000000,354.589996,353.559998,104.070000,-0.150599,0.136017,0.008343,0.979158,-4.099300,3.659000,0.237100
79,True,True,-1.000000,1.000000,27.260000,26.549999,203.819992,354.589996,353.559998,98.650002,-0.172842,0.155886,0.009595,0.972488,-4.096600,3.662100,0.236200
80,True,True,-1.000000,1.000000,30.209999,29.500000,204.599991,354.589996,353.559998,93.229996,-0.194912,0.175620,0.010835,0.964909,-4.094700,3.664300,0.235400
81,True,True,-1.000000,1.000000,33.160000,32.450001,205.330002,354.589996,353.559998,87.809998,-0.216793,0.195203,0.012066,0.956426,-4.093300,3.665900,0.234700
82,True,True,-1.000000,1.000000,36.110001,35.399998,206.019989,354.589996,353.559998,82.389999,-0.238464,0.214609,0.013285,0.947049,-4.092300,3.667000,0.234100
83,True,True,-1.000000,1.000000,39.059998,38.349998,206.659988,354.589996,353.559998,76.970001,-0.259909,0.233819,0.014488,0.936785,-4.091600,3.667800,0.233600
