frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
84,False,False,1.000000,1.000000,59.309998,0.000000,205.619995,501.630981,0.000000,71.530998,0.000003,0.372946,0.000003,0.927853,0.000000,5.500010,0.000000
85,False,False,1.000000,1.000000,63.489998,0.000000,206.169998,501.630981,0.000000,66.111000,0.000003,0.400740,0.000003,0.916192,0.000000,5.500010,0.000000
86,False,False,1.000000,1.000000,67.669998,0.000000,206.679993,501.630981,0.000000,60.690998,0.000003,0.428173,0.000003,0.903697,0.000000,5.500010,0.000000
87,False,False,1.000000,1.000000,71.849998,0.000000,207.139999,501.630981,0.000000,55.271000,0.000003,0.455217,0.000003,0.890380,0.000000,5.500010,0.000000
88,False,False,1.000000,1.000000,76.029999,0.000000,207.559998,501.630981,0.000000,49.850998,0.000003,0.481846,0.000003,0.876256,0.000000,5.500010,0.000000
89,False,False,1.000000,1.000000,80.209999,0.000000,207.779999,501.630981,0.000000,26.980999,0.000003,0.508038,0.000003,0.861335,0.000000,5.500010,0.000000
90,False,False,1.000000,1.000000,84.389999,0.000000,207.879990,501.630981,0.000000,12.121000,0.000003,0.533766,0.000003,0.845632,0.000000,5.500010,0.000000
91,False,False,1.000000,1.000000,88.570000,0.000000,207.899994,501.630981,0.000000,2.461000,0.000003,0.559014,0.000003,0.829158,0.000000,5.499910,0.000000
92,False,False,1.000000,1.000000,92.750000,0.000000,207.869995,501.630981,0.000000,-3.811000,0.000003,0.583749,0.000003,0.811934,0.000000,5.499910,0.000000
93,False,False,1.000000,1.000000,96.930000,0.000000,207.799988,501.630981,0.000000,-7.891000,0.000003,0.607955,0.000003,0.793971,0.000000,5.499910,0.000000
94,False,False,1.000000,1.000000,101.110001,0.000000,207.709991,501.630981,0.000000,-10.541000,0.000003,0.631612,0.000003,0.775285,0.000000,5.499910,0.000000
95,False,False,1.000000,1.000000,105.290001,0.000000,207.610001,501.630981,0.000000,-12.261000,0.000003,0.654691,0.000003,0.755897,0.000000,5.500010,0.000000
96,False,False,1.000000,1.000000,109.470001,0.000000,207.500000,501.630981,0.000000,-13.381001,0.000003,0.677176,0.000003,0.735821,0.000000,5.500010,0.000000
97,False,False,1.000000,1.000000,113.649994,0.000000,207.379990,501.630981,0.000000,-14.111000,0.000003,0.699047,0.000003,0.715076,0.000000,5.500010,0.000000
98,False,False,1.000000,1.000000,117.829994,0.000000,207.259995,501.630981,0.000000,-14.581000,0.000003,0.720284,0.000003,0.693679,0.000000,5.500010,0.000000
99,False,False,1.000000,1.000000,122.009995,0.000000,207.139999,501.630981,0.000000,-14.891000,0.000003,0.740867,0.000003,0.671652,0.000000,5.500010,0.000000
100,False,False,1.000000,1.000000,126.189995,0.000000,207.009995,501.630981,0.000000,-15.091000,0.000003,0.760775,0.000003,0.649015,0.000000,5.500010,0.000000
101,False,False,1.000000,1.000000,130.369995,0.000000,206.879990,501.630981,0.000000,-15.221000,0.000003,0.779991,0.000003,0.625791,0.000000,5.500010,0.000000
102,False,False,1.000000,1.000000,134.550003,0.000000,206.750000,501.630981,0.000000,-15.311000,0.000003,0.798496,0.000003,0.601999,0.000000,5.500010,0.000000
103,False,False,1.000000,1.000000,138.729996,0.000000,206.619995,501.630981,0.000000,-15.361000,0.000003,0.816279,0.000003,0.577658,0.000000,5.499910,0.000000
104,False,False,1.000000,1.000000,142.910004,0.000000,206.489990,501.630981,0.000000,-15.401000,0.000003,0.833318,0.000003,0.552793,0.000000,5.500010,0.000000
105,False,False,1.000000,1.000000,147.089996,0.000000,206.360001,501.630981,0.000000,-15.421000,0.000003,0.849600,0.000003,0.527427,0.000000,5.499910,0.000000
106,False,False,1.000000,1.000000,151.269989,0.000000,206.229996,501.630981,0.000000,-15.441000,0.000003,0.865111,0.000003,0.501580,0.000000,5.499910,0.000000
107,False,False,1.000000,1.000000,155.449997,0.000000,206.099991,501.630981,0.000000,-15.451000,0.000003,0.879837,0.000003,0.475275,0.000000,5.499910,0.000000
108,False,False,1.000000,1.000000,159.629990,0.000000,205.970001,501.630981,0.000000,-15.451000,0.000003,0.893763,0.000003,0.448539,0.000000,5.500010,0.000000
109,False,False,1.000000,1.000000,163.809998,0.000000,205.839996,501.630981,0.000000,-15.451000,0.000003,0.906876,0.000003,0.421397,0.000000,5.499910,0.000000
110,False,False,1.000000,1.000000,167.989990,0.000000,205.709991,501.630981,0.000000,-15.451000,0.000003,0.919165,0.000003,0.393873,0.000000,5.499910,0.000000
111,False,False,1.000000,1.000000,172.169998,0.000000,205.580002,501.630981,0.000000,-15.451000,0.000003,0.930618,0.000003,0.365992,0.000000,5.499910,0.000000
112,False,False,1.000000,1.000000,176.349991,0.000000,205.449997,501.630981,0.000000,-15.451000,0.000003,0.941226,0.000003,0.337777,0.000000,5.499910,0.000000
113,False,False,1.000000,1.000000,180.529999,0.000000,205.319992,501.630981,0.000000,-15.451000,0.000003,0.950979,0.000003,0.309255,0.000000,5.500010,0.000000
114,False,False,1.000000,1.000000,184.709991,0.000000,205.190002,501.630981,0.000000,-15.451000,0.000003,0.959868,0.000003,0.280452,0.000000,5.500010,0.000000
115,False,False,1.000000,1.000000,188.889999,0.000000,205.059998,501.630981,0.000000,-15.451000,0.000003,0.967884,0.000003,0.251396,0.000000,5.500010,0.000000
116,False,False,1.000000,1.000000,193.069992,0.000000,204.929993,501.630981,0.000000,-15.451000,0.000003,0.975022,0.000003,0.222107,0.000000,5.500010,0.000000
117,False,False,1.000000,1.000000,197.250000,0.000000,204.799988,501.630981,0.000000,-15.451000,0.000003,0.981274,0.000003,0.192619,0.000000,5.500010,0.000000
118,False,False,1.000000,1.000000,201.429993,0.000000,204.669998,501.630981,0.000000,-15.451000,0.000003,0.986634,0.000003,0.162953,0.000000,5.500010,0.000000
119,False,False,1.000000,1.000000,205.610001,0.000000,204.539993,501.630981,0.000000,-15.451000,0.000003,0.991097,0.000003,0.133141,0.000000,5.500010,0.000000
120,False,False,1.000000,1.000000,209.789993,0.000000,204.409988,501.630981,0.000000,-15.451000,0.000003,0.994659,0.000003,0.103211,0.000000,5.500010,0.000000
121,False,False,1.000000,1.000000,213.970001,0.000000,204.279999,501.630981,0.000000,-15.451000,0.000003,0.997318,0.000003,0.073183,0.000000,5.500010,0.000000
122,False,False,1.000000,1.000000,218.149994,0.000000,204.149994,501.630981,0.000000,-15.451000,0.000003,0.999071,0.000003,0.043091,0.000000,5.500010,0.000000
123,False,False,1.000000,1.000000,222.330002,0.000000,204.019989,501.630981,0.000000,-15.451000,0.000003,0.999916,0.000003,0.012961,0.000000,5.500010,0.000000
124,False,False,1.000000,1.000000,226.509995,0.000000,203.889999,501.630981,0.000000,-15.451000,0.000003,0.999852,0.000003,-0.017185,0.000000,5.500010,0.000000
125,False,False,1.000000,1.000000,230.690002,0.000000,203.759995,501.630981,0.000000,-15.451000,0.000003,0.998880,0.000003,-0.047315,0.000000,5.500010,0.000000
126,False,False,1.000000,1.000000,234.869995,0.000000,203.629990,501.630981,0.000000,-15.451000,0.000003,0.997000,0.000003,-0.077402,0.000000,5.499910,0.000000
127,False,False,1.000000,1.000000,239.049988,0.000000,203.500000,501.630981,0.000000,-15.451000,0.000003,0.994214,0.000003,-0.107419,0.000000,5.500010,0.000000
128,False,False,1.000000,1.000000,243.229996,0.000000,203.369995,501.630981,0.000000,-15.451000,0.000003,0.990524,0.000003,-0.137339,0.000000,5.500010,0.000000
129,False,False,1.000000,1.000000,247.409988,0.000000,203.239990,501.630981,0.000000,-15.451000,0.000003,0.985935,0.000003,-0.167129,0.000000,5.500010,0.000000
130,False,False,1.000000,1.000000,251.589996,0.000000,203.110001,501.630981,0.000000,-15.451000,0.000003,0.980450,0.000003,-0.196768,0.000000,5.499910,0.000000
131,False,False,1.000000,1.000000,255.769989,0.000000,202.979996,501.630981,0.000000,-15.451000,0.000003,0.974074,0.000003,-0.226229,0.000000,5.499910,0.000000
132,False,False,1.000000,1.000000,259.949982,0.000000,202.849991,501.630981,0.000000,-15.451000,0.000003,0.966813,0.000003,-0.255485,0.000000,5.499910,0.000000
133,False,False,1.000000,1.000000,264.130005,0.000000,202.720001,501.630981,0.000000,-15.451000,0.000003,0.958673,0.000003,-0.284509,0.000000,5.499910,0.000000
134,False,False,1.000000,1.000000,268.309998,0.000000,202.589996,501.630981,0.000000,-15.451000,0.000003,0.949663,0.000003,-0.313274,0.000000,5.499910,0.000000
135,False,False,1.000000,1.000000,272.489990,0.000000,202.459991,501.630981,0.000000,-15.451000,0.000003,0.939790,0.000003,-0.341754,0.000000,5.500010,0.000000
136,False,False,1.000000,1.000000,276.669983,0.000000,202.330002,501.630981,0.000000,-15.451000,0.000003,0.929061,0.000003,-0.369925,0.000000,5.500010,0.000000
137,False,False,1.000000,1.000000,280.850006,0.000000,202.199997,501.630981,0.000000,-15.451000,0.000003,0.917491,0.000003,-0.397757,0.000000,5.500010,0.000000
138,False,False,1.000000,1.000000,285.029999,0.000000,202.069992,501.630981,0.000000,-15.451000,0.000003,0.905086,0.000003,-0.425227,0.000000,5.500010,0.000000
139,False,False,1.000000,1.000000,289.209991,0.000000,201.940002,501.630981,0.000000,-15.451000,0.000003,0.891858,0.000003,-0.452315,0.000000,5.499910,0.000000
140,False,False,1.000000,1.000000,293.389984,0.000000,201.809998,501.630981,0.000000,-15.451000,0.000003,0.877819,0.000003,-0.478992,0.000000,5.500010,0.000000
141,False,False,1.000000,1.000000,297.570007,0.000000,201.679993,501.630981,0.000000,-15.451000,0.000003,0.862983,0.000003,-0.505233,0.000000,5.500010,0.000000
142,False,False,1.000000,1.000000,301.750000,0.000000,201.550003,501.630981,0.000000,-15.451000,0.000003,0.847363,0.000003,-0.531015,0.000000,5.500010,0.000000
143,False,False,1.000000,1.000000,305.929993,0.000000,201.419998,501.630981,0.000000,-15.451000,0.000003,0.830974,0.000003,-0.556311,0.000000,5.500010,0.000000
144,False,False,1.000000,1.000000,310.109985,0.000000,201.289993,501.630981,0.000000,-15.451000,0.000003,0.813828,0.000003,-0.581105,0.000000,5.500010,0.000000
145,False,False,1.000000,1.000000,314.289978,0.000000,201.159988,501.630981,0.000000,-15.451000,0.000003,0.795943,0.000003,-0.605371,0.000000,5.500010,0.000000
146,False,False,1.000000,1.000000,318.470001,0.000000,201.029999,501.630981,0.000000,-15.451000,0.000003,0.777335,0.000003,-0.629087,0.000000,5.500010,0.000000
147,False,False,1.000000,1.000000,322.649994,0.000000,200.899994,501.630981,0.000000,-15.451000,0.000003,0.758021,0.000003,-0.652231,0.000000,5.500010,0.000000
148,False,False,1.000000,1.000000,326.829987,0.000000,200.769989,501.630981,0.000000,-15.451000,0.000003,0.738018,0.000003,-0.674781,0.000000,5.500010,0.000000
149,False,False,1.000000,1.000000,331.009979,0.000000,200.639999,501.630981,0.000000,-15.451000,0.000003,0.717347,0.000003,-0.696716,0.000000,5.500010,0.000000
150,False,False,1.000000,1.000000,335.190002,0.000000,200.470001,501.630981,0.000000,-20.860998,-0.000003,-0.701582,-0.000003,0.712588,0.000000,5.368110,0.000000
151,False,False,1.000000,1.000000,339.369995,0.000000,200.250000,501.630981,0.000000,-26.270998,-0.000003,-0.685862,-0.000003,0.727732,0.000000,5.239410,0.000000
152,False,False,1.000000,1.000000,343.549988,0.000000,199.989990,501.630981,0.000000,-31.680998,-0.000003,-0.670201,-0.000003,0.742180,0.000000,5.113810,0.000000
153,False,False,1.000000,1.000000,347.729980,0.000000,199.679993,501.630981,0.000000,-37.091000,-0.000003,-0.654621,-0.000003,0.755958,0.000000,4.991210,0.000000
154,False,False,1.000000,1.000000,351.910004,0.000000,199.330002,501.630981,0.000000,-42.500999,-0.000003,-0.639143,-0.000003,0.769088,0.000000,4.871510,0.000000
155,False,False,1.000000,1.000000,356.089996,0.000000,198.929993,501.630981,0.000000,-47.910999,-0.000003,-0.623784,-0.000003,0.781597,0.000000,4.754710,0.000000
156,False,False,1.000000,1.000000,360.269989,0.000000,198.489990,501.630981,0.000000,-53.320999,-0.000003,-0.608554,-0.000003,0.793512,0.000000,4.640710,0.000000
157,False,False,1.000000,1.000000,364.449982,0.000000,198.000000,501.630981,0.000000,-58.730999,-0.000003,-0.593470,-0.000003,0.804856,0.000000,4.529410,0.000000
158,False,False,1.000000,1.000000,368.630005,0.000000,197.470001,501.630981,0.000000,-64.140999,-0.000003,-0.578543,-0.000003,0.815652,0.000000,4.420810,0.000000
159,False,False,1.000000,1.000000,372.809998,0.000000,196.889999,501.630981,0.000000,-69.550995,-0.000003,-0.563788,-0.000003,0.825919,0.000000,4.314810,0.000000
160,False,False,1.000000,1.000000,376.989990,0.000000,196.269989,501.630981,0.000000,-74.960999,-0.000003,-0.549211,-0.000003,0.835684,0.000000,4.211310,0.000000
161,False,False,1.000000,1.000000,381.169983,0.000000,195.599991,501.630981,0.000000,-80.370995,-0.000003,-0.534818,-0.000003,0.844967,0.000000,4.110310,0.000000
