frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
136,False,False,0.000000,0.000000,1.450000,275.220001,202.289993,1.631000,500.040985,-15.451000,0.904495,0.000251,-0.004777,0.426458,-5.499710,0.019610,0.048710
137,False,False,0.000000,0.000000,1.460000,279.389984,202.159988,1.631000,500.040985,-15.451000,0.890830,0.000397,-0.004766,0.454311,-5.499710,0.019610,0.048710
138,False,False,0.000000,0.000000,1.470000,283.559998,202.029999,1.631000,500.040985,-15.451000,0.876308,0.000542,-0.004750,0.481727,-5.499710,0.019610,0.048710
139,False,False,0.000000,0.000000,1.480000,287.729980,201.899994,1.631000,500.040985,-15.451000,0.860942,0.000688,-0.004729,0.508680,-5.499710,0.019710,0.048610
140,False,False,0.000000,0.000000,1.490000,291.899994,201.769989,1.631000,500.040985,-15.451000,0.844745,0.000833,-0.004702,0.535147,-5.499710,0.019710,0.048610
141,False,False,0.000000,0.000000,1.500000,296.070007,201.639999,1.631000,500.040985,-15.451000,0.827737,0.000979,-0.004675,0.561096,-5.499710,0.019710,0.048610
142,False,False,0.000000,0.000000,1.510000,300.239990,201.509995,1.631000,500.040985,-15.451000,0.809931,0.001125,-0.004642,0.586506,-5.499710,0.019710,0.048610
143,False,False,0.000000,0.000000,1.520000,304.410004,201.379990,1.631000,500.040985,-15.451000,0.791347,0.001270,-0.004604,0.611349,-5.499710,0.019710,0.048610
144,False,False,0.000000,0.000000,1.530000,308.579987,201.250000,1.631000,500.040985,-15.451000,0.772001,0.001411,-0.004561,0.635604,-5.499710,0.019710,0.048610
145,False,False,0.000000,0.000000,1.540000,312.750000,201.119995,1.631000,500.040985,-15.451000,0.751909,0.001551,-0.004513,0.659249,-5.499710,0.019710,0.048610
146,False,False,0.000000,0.000000,1.550000,316.919983,200.989990,1.631000,500.040985,-15.451000,0.731096,0.001691,-0.004464,0.682258,-5.499710,0.019710,0.048510
147,False,False,0.000000,0.000000,1.560000,321.089996,200.860001,1.631000,500.040985,-15.451000,0.709580,0.001826,-0.004410,0.704609,-5.499710,0.019710,0.048510
148,False,False,0.000000,0.000000,1.570000,325.259979,200.729996,1.631000,500.040985,-15.451000,0.687378,0.001961,-0.004351,0.726284,-5.499710,0.019710,0.048510
149,False,False,0.000000,0.000000,1.580000,329.429993,200.599991,1.631000,500.040985,-15.451000,0.664515,0.002096,-0.004286,0.747260,-5.499710,0.019710,0.048510
150,False,False,0.000000,0.000000,1.590000,333.600006,200.429993,1.631000,500.040985,-20.860998,0.647915,0.002188,-0.004238,0.761698,-5.280010,0.018910,0.046510
151,False,False,0.000000,0.000000,1.600000,337.769989,200.209991,1.631000,500.040985,-26.270998,0.631682,0.002274,-0.004189,0.775213,-5.069010,0.018110,0.044610
152,False,False,0.000000,0.000000,1.610000,341.940002,199.949997,1.631000,500.040985,-31.680998,0.615832,0.002355,-0.004141,0.787863,-4.866510,0.017310,0.042810
153,False,False,0.000000,0.000000,1.620000,346.109985,199.639999,1.631000,500.040985,-37.091000,0.600376,0.002436,-0.004092,0.799704,-4.672110,0.016610,0.041010
154,False,False,0.000000,0.000000,1.630000,350.279999,199.289993,1.631000,500.040985,-42.500999,0.585324,0.002511,-0.004043,0.810785,-4.485410,0.015910,0.039310
155,False,False,0.000000,0.000000,1.640000,354.449982,198.889999,1.631000,500.040985,-47.910999,0.570683,0.002581,-0.003995,0.821157,-4.306210,0.015210,0.037710
156,False,False,0.000000,0.000000,1.650000,358.619995,198.449997,1.631000,500.040985,-53.320999,0.556451,0.002646,-0.003952,0.830867,-4.134110,0.014510,0.036210
157,False,False,0.000000,0.000000,1.660000,362.789978,197.959991,1.631000,500.040985,-58.730999,0.542635,0.002711,-0.003909,0.839955,-3.968910,0.013910,0.034710
158,False,False,0.000000,0.000000,1.670000,366.959991,197.429993,1.631000,500.040985,-64.140999,0.529229,0.002770,-0.003865,0.848466,-3.810310,0.013310,0.033310
159,False,False,0.000000,0.000000,1.680000,371.130005,196.849991,1.631000,500.040985,-69.550995,0.516233,0.002824,-0.003822,0.856435,-3.658010,0.012710,0.031910
