frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeStrafe,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
80,True,True,-1.000000,1.000000,1.000000,1.000000,30.369999,29.500000,195.909988,355.181000,353.591003,82.431000,-0.194896,0.177179,0.011154,0.964624,-4.093910,3.664310,0.248610
81,True,True,-1.000000,1.000000,1.000000,1.000000,33.329998,32.450001,196.550003,355.181000,353.591003,77.010994,-0.216777,0.196746,0.012422,0.956109,-4.092510,3.665910,0.247910
82,True,True,-1.000000,1.000000,1.000000,1.000000,36.290001,35.399998,197.149994,355.181000,353.591003,71.590996,-0.238448,0.216135,0.013673,0.946700,-4.091610,3.667010,0.247310
83,True,True,-1.000000,1.000000,1.000000,1.000000,39.250000,38.349998,197.699997,355.181000,353.591003,66.170998,-0.259893,0.235330,0.014914,0.936404,-4.090910,3.667810,0.246810
84,True,True,-1.000000,1.000000,1.000000,1.000000,42.209999,41.299999,198.209991,355.181000,353.591003,60.750999,-0.281089,0.254304,0.016139,0.925234,-4.090410,3.668410,0.246410
85,True,True,-1.000000,1.000000,1.000000,1.000000,45.169998,44.250000,198.669998,355.181000,353.591003,55.330997,-0.302021,0.273045,0.017347,0.913197,-4.090110,3.668810,0.246010
86,True,True,-1.000000,1.000000,1.000000,1.000000,48.129997,47.200001,199.089996,355.181000,353.591003,49.910999,-0.322667,0.291533,0.018539,0.900306,-4.089810,3.669110,0.245710
87,True,True,-1.000000,1.000000,1.000000,1.000000,51.090000,50.149998,199.459991,355.181000,353.591003,44.490997,-0.343011,0.309752,0.019715,0.886572,-4.089610,3.669310,0.245510
88,True,True,-1.000000,1.000000,1.000000,1.000000,54.049999,53.099998,199.789993,355.181000,353.591003,39.070999,-0.363031,0.327679,0.020870,0.872009,-4.089510,3.669510,0.245410
89,True,True,-1.000000,1.000000,1.000000,1.000000,57.009998,56.049999,199.959991,355.181000,353.591003,19.970999,-0.382711,0.345298,0.022008,0.856631,-4.089410,3.669610,0.245310
90,True,True,-1.000000,1.000000,1.000000,1.000000,59.969997,59.000000,200.019989,355.181000,353.591003,7.561000,-0.402035,0.362599,0.023125,0.840449,-4.089310,3.669610,0.245210
91,True,True,-1.000000,1.000000,1.000000,1.000000,62.930000,61.949997,200.019989,355.181000,353.591003,-0.501000,-0.420982,0.379560,0.024220,0.823481,-4.089310,3.669710,0.245110
92,True,True,-1.000000,1.000000,1.000000,1.000000,65.889999,64.900002,199.970001,355.181000,353.591003,-5.741000,-0.439535,0.396166,0.025294,0.805743,-4.089310,3.669710,0.245110
