frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
123,1.000000,True,True,-2000.000000,-3554.530029,17.000000,0.000000,1608.940918,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
124,1.000000,True,True,-2000.000000,-3541.049805,17.000000,0.000000,1617.200928,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
125,1.000000,True,True,-2000.000000,-3527.500000,17.000000,0.000000,1625.460938,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
126,1.000000,True,True,-2000.000000,-3513.889893,17.000000,0.000000,1633.720947,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
127,1.000000,True,True,-2000.000000,-3500.209961,17.000000,0.000000,1641.980957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
128,1.000000,True,True,-2000.000000,-3486.459961,17.000000,0.000000,1650.240967,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
129,1.000000,True,True,-2000.000000,-3472.639893,17.000000,0.000000,1658.500977,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
130,1.000000,True,True,-2000.000000,-3458.750000,17.000000,0.000000,1666.760986,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
131,1.000000,True,True,-2000.000000,-3444.790039,17.000000,0.000000,1675.020996,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
132,1.000000,True,True,-2000.000000,-3430.760010,17.000000,0.000000,1683.280884,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
133,1.000000,True,True,-2000.000000,-3416.659912,17.000000,0.000000,1691.540894,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
134,1.000000,True,True,-2000.000000,-3402.489990,17.000000,0.000000,1699.800903,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
135,1.000000,True,True,-2000.000000,-3388.260010,17.000000,0.000000,1708.060913,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
136,1.000000,True,True,-2000.000000,-3373.959961,17.000000,0.000000,1716.320923,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
137,1.000000,True,True,-2000.000000,-3359.589844,17.000000,0.000000,1724.580933,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
138,1.000000,True,True,-2000.000000,-3345.149902,17.000000,0.000000,1732.840942,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
139,1.000000,True,True,-2000.000000,-3330.639893,17.000000,0.000000,1741.100952,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
140,1.000000,True,True,-2000.000000,-3316.059814,17.000000,0.000000,1749.360962,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
141,1.000000,True,True,-2000.000000,-3301.409912,17.000000,0.000000,1757.620972,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
142,1.000000,True,True,-2000.000000,-3286.689941,17.000000,0.000000,1765.880981,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
143,1.000000,True,True,-2000.000000,-3271.899902,17.000000,0.000000,1774.140991,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
144,1.000000,True,True,-2000.000000,-3257.050049,17.000000,0.000000,1782.400879,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
145,1.000000,True,True,-2000.000000,-3242.129883,17.000000,0.000000,1790.660889,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
146,1.000000,True,True,-2000.000000,-3227.139893,17.000000,0.000000,1798.920898,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
147,1.000000,True,True,-2000.000000,-3212.079834,17.000000,0.000000,1807.180908,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
148,1.000000,True,True,-2000.000000,-3196.949951,17.000000,0.000000,1815.440918,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
149,1.000000,True,True,-2000.000000,-3181.750000,17.000000,0.000000,1823.700928,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
150,1.000000,True,True,-2000.000000,-3166.479980,17.000000,0.000000,1831.960938,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
151,1.000000,True,True,-2000.000000,-3151.139893,17.000000,0.000000,1840.220947,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
152,1.000000,True,True,-2000.000000,-3135.739990,17.000000,0.000000,1848.480957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
153,1.000000,True,True,-2000.000000,-3120.270020,17.000000,0.000000,1856.740967,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
154,1.000000,True,True,-2000.000000,-3104.729980,17.000000,0.000000,1865.000977,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
155,1.000000,True,True,-2000.000000,-3089.119873,17.000000,0.000000,1873.260986,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
156,1.000000,True,True,-2000.000000,-3073.439941,17.000000,0.000000,1881.520874,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
157,1.000000,True,True,-2000.000000,-3057.689941,17.000000,0.000000,1889.780884,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
158,1.000000,True,True,-2000.000000,-3041.869873,17.000000,0.000000,1898.040894,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
159,1.000000,True,True,-2000.000000,-3025.979980,17.000000,0.000000,1906.300903,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
160,1.000000,True,True,-2000.000000,-3010.020020,17.000000,0.000000,1914.560913,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000810,0.000000,0.000000
