frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
58,False,False,1.000000,0.000000,False,False,3642.639893,0.000000,18.639999,586.469971,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
59,False,False,1.000000,0.000000,False,False,3647.530029,0.000000,18.639999,594.769958,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
60,False,False,1.000000,0.000000,False,False,3652.489990,0.000000,18.639999,603.000000,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
61,False,False,1.000000,0.000000,False,False,3657.520020,0.000000,18.639999,611.159973,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
62,False,False,1.000000,0.000000,False,False,3662.609863,0.000000,18.639999,619.250000,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
63,False,False,1.000000,0.000000,False,False,3667.770020,0.000000,18.639999,627.269958,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
64,False,False,1.000000,0.000000,False,False,3673.000000,0.000000,18.639999,635.219971,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
65,False,False,1.000000,0.000000,False,False,3678.290039,0.000000,18.639999,643.099976,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
66,False,False,1.000000,0.000000,False,False,3683.649902,0.000000,18.639999,650.919983,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
67,False,False,1.000000,0.000000,False,False,3689.069824,0.000000,18.639999,658.669983,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
68,False,False,1.000000,0.000000,False,False,3694.559814,0.000000,18.639999,666.349976,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
69,False,False,1.000000,0.000000,False,False,3700.109863,0.000000,18.639999,673.969971,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
70,False,False,1.000000,0.000000,False,False,3705.729980,0.000000,18.639999,681.519958,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
71,False,False,1.000000,0.000000,False,False,3711.409912,0.000000,18.639999,689.010010,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
72,False,False,1.000000,0.000000,False,False,3717.149902,0.000000,18.639999,696.429993,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
73,False,False,1.000000,0.000000,False,False,3722.949951,0.000000,18.639999,703.789978,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
