frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
72,False,False,0.000000,0.000000,0.810000,0.000000,195.479996,1.630000,0.000000,136.569992,-0.002608,0.004799,-0.000612,0.999985,-0.307400,0.000000,-0.071700
73,False,False,0.000000,0.000000,0.820000,0.000000,196.569992,1.630000,0.000000,131.149994,-0.003838,0.004799,-0.000914,0.999981,-0.295100,0.000000,-0.070600
74,False,False,0.000000,0.000000,0.830000,0.000000,197.619995,1.630000,0.000000,125.729996,-0.005020,0.004799,-0.001211,0.999975,-0.283300,0.000000,-0.069500
75,False,False,0.000000,0.000000,0.840000,0.000000,198.619995,1.630000,0.000000,120.309998,-0.006153,0.004799,-0.001502,0.999968,-0.271900,0.000000,-0.068400
76,False,False,0.000000,0.000000,0.850000,0.000000,199.580002,1.630000,0.000000,114.889999,-0.007237,0.004799,-0.001788,0.999961,-0.261000,0.000000,-0.067300
77,False,False,0.000000,0.000000,0.860000,0.000000,200.489990,1.630000,0.000000,109.470001,-0.008278,0.004799,-0.002069,0.999952,-0.250500,0.000000,-0.066200
78,False,False,0.000000,0.000000,0.870000,0.000000,201.360001,1.630000,0.000000,104.049995,-0.009282,0.004799,-0.002344,0.999943,-0.240500,0.000000,-0.065100
79,False,False,0.000000,0.000000,0.880000,0.000000,202.179993,1.630000,0.000000,98.629997,-0.010242,0.004799,-0.002614,0.999933,-0.230900,0.000000,-0.064100
80,False,False,0.000000,0.000000,0.890000,0.000000,202.959991,1.630000,0.000000,93.209999,-0.011165,0.004799,-0.002884,0.999922,-0.221600,0.000000,-0.063100
81,False,False,0.000000,0.000000,0.900000,0.000000,203.690002,1.630000,0.000000,87.790001,-0.012049,0.004799,-0.003148,0.999911,-0.212700,0.000000,-0.062100
82,False,False,0.000000,0.000000,0.910000,0.000000,204.379990,1.630000,0.000000,82.369995,-0.012896,0.004799,-0.003407,0.999900,-0.204200,0.000000,-0.061100
83,False,False,0.000000,0.000000,0.920000,0.000000,205.019989,1.630000,0.000000,76.949997,-0.013711,0.004799,-0.003660,0.999888,-0.196000,0.000000,-0.060100
84,False,False,0.000000,0.000000,0.930000,0.000000,205.619995,1.630000,0.000000,71.529999,-0.014493,0.004799,-0.003909,0.999876,-0.188100,0.000000,-0.059100
85,False,False,0.000000,0.000000,0.940000,0.000000,206.169998,1.630000,0.000000,66.110001,-0.015243,0.004799,-0.004157,0.999864,-0.180600,0.000000,-0.058100
