frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
55,True,True,-1.000000,0.000000,-200.000000,1133.650024,0.000000,0.000000,291.661011,-0.436665,0.436681,0.556154,0.556171,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
56,True,True,-1.000000,0.000000,-200.000000,1136.079956,0.000000,0.000000,291.661011,-0.449531,0.449547,0.545807,0.545824,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
57,True,True,-1.000000,0.000000,-200.000000,1138.510010,0.000000,0.000000,291.661011,-0.462150,0.462166,0.535163,0.535183,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
58,True,True,-1.000000,0.000000,-200.000000,1140.939941,0.000000,0.000000,291.661011,-0.474520,0.474536,0.524228,0.524243,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
59,True,True,-1.000000,0.000000,-200.000000,1143.369995,0.000000,0.000000,291.661011,-0.486631,0.486648,0.513007,0.513019,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
60,True,True,-1.000000,0.000000,-200.000000,1145.799927,0.000000,0.000000,291.661011,-0.498478,0.498495,0.501505,0.501513,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
61,True,True,-1.000000,0.000000,-200.000000,1148.229980,0.000000,0.000000,291.661011,-0.510050,0.510070,0.489728,0.489739,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
62,True,True,-1.000000,0.000000,-200.000000,1150.660034,0.000000,0.000000,291.661011,-0.521347,0.521361,0.477687,0.477698,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
63,True,True,-1.000000,0.000000,-200.000000,1153.089966,0.000000,0.000000,291.661011,-0.532358,0.532368,0.465387,0.465397,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
64,True,True,-1.000000,0.000000,-200.000000,1155.520020,0.000000,0.000000,291.661011,-0.543077,0.543086,0.452833,0.452844,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
65,True,True,-1.000000,0.000000,-200.000000,1157.949951,0.000000,0.000000,291.661011,-0.553500,0.553510,0.440031,0.440042,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
66,True,True,-1.000000,0.000000,-200.000000,1160.380005,0.000000,0.000000,291.661011,-0.563621,0.563638,0.426986,0.426997,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
67,True,True,-1.000000,0.000000,-200.000000,1162.809937,0.000000,0.000000,291.661011,-0.573434,0.573457,0.413710,0.413720,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
68,True,True,-1.000000,0.000000,-200.000000,1165.239990,0.000000,0.000000,291.661011,-0.582934,0.582965,0.400206,0.400217,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
69,True,True,-1.000000,0.000000,-200.000000,1167.669922,0.000000,0.000000,291.661011,-0.592122,0.592147,0.386487,0.386498,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
70,True,True,-1.000000,0.000000,-200.000000,1170.099976,0.000000,0.000000,291.661011,-0.600985,0.601007,0.372558,0.372569,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
71,True,True,-1.000000,0.000000,-200.000000,1172.530029,0.000000,0.000000,291.661011,-0.609520,0.609543,0.358424,0.358434,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
72,True,True,-1.000000,0.000000,-200.000000,1174.959961,0.000000,0.000000,291.661011,-0.617720,0.617747,0.344095,0.344106,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
73,True,True,-1.000000,0.000000,-200.000000,1177.390015,0.000000,0.000000,291.661011,-0.625586,0.625614,0.329577,0.329588,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
74,True,True,-1.000000,0.000000,-200.000000,1179.819946,0.000000,0.000000,291.661011,-0.633111,0.633136,0.314882,0.314893,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
75,True,True,-1.000000,0.000000,-200.000000,1182.250000,0.000000,0.000000,291.661011,-0.640292,0.640315,0.300014,0.300025,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
76,True,True,-1.000000,0.000000,-200.000000,1184.679932,0.000000,0.000000,291.661011,-0.647122,0.647144,0.284984,0.284995,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
