frame,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
110,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.635663,0.771966,0.000000,0.000000,5.500010
111,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.617558,0.786525,0.000000,0.000000,5.500010
112,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.599119,0.800660,0.000000,0.000000,5.500010
113,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.580355,0.814363,0.000000,0.000000,5.500010
114,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.561279,0.827626,0.000000,0.000000,5.500010
115,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.541901,0.840442,0.000000,0.000000,5.500010
116,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.522232,0.852804,0.000000,0.000000,5.500010
117,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.502282,0.864704,0.000000,0.000000,5.500010
118,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.482056,0.876140,0.000000,0.000000,5.500010
119,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.461572,0.887102,0.000000,0.000000,5.500010
120,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.440840,0.897586,0.000000,0.000000,5.500010
121,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.419870,0.907584,0.000000,0.000000,5.500010
122,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.398674,0.917093,0.000000,0.000000,5.500010
123,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.377262,0.926106,0.000000,0.000000,5.500010
124,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.355645,0.934621,0.000000,0.000000,5.500010
125,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.333839,0.942630,0.000000,0.000000,5.500010
126,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.311850,0.950131,0.000000,0.000000,5.500010
127,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.289694,0.957119,0.000000,0.000000,5.500010
128,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.267381,0.963591,0.000000,0.000000,5.500010
129,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.244922,0.969543,0.000000,0.000000,5.500010
130,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.222334,0.974971,0.000000,0.000000,5.500010
131,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.199627,0.979872,0.000000,0.000000,5.500010
132,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.176812,0.984244,0.000000,0.000000,5.500010
133,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.153901,0.988086,0.000000,0.000000,5.500010
134,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.130903,0.991395,0.000000,0.000000,5.500010
135,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.107834,0.994169,0.000000,0.000000,5.500010
136,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.084712,0.996405,0.000000,0.000000,5.500010
137,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.061541,0.998105,0.000000,0.000000,5.500010
138,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.038338,0.999265,0.000000,0.000000,5.500010
