frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
70,False,True,True,0.000000,1.000000,-2000.000000,-4129.549805,18.779999,0.000000,1140.170898,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
71,False,True,True,0.000000,1.000000,-2000.000000,-4119.949707,18.779999,0.000000,1151.990967,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
72,False,True,True,0.000000,1.000000,-2000.000000,-4110.250000,18.779999,0.000000,1163.710938,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
73,False,True,True,0.000000,1.000000,-2000.000000,-4100.459961,18.779999,0.000000,1175.330933,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
74,False,True,True,0.000000,1.000000,-2000.000000,-4090.569824,18.779999,0.000000,1186.850952,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
75,False,True,True,0.000000,1.000000,-2000.000000,-4080.579834,18.779999,0.000000,1198.270996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
76,False,True,True,0.000000,1.000000,-2000.000000,-4070.500000,18.779999,0.000000,1209.590942,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
77,False,True,True,0.000000,1.000000,-2000.000000,-4060.329834,18.779999,0.000000,1220.820923,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
78,False,True,True,0.000000,1.000000,-2000.000000,-4050.059814,18.779999,0.000000,1231.950928,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
79,False,True,True,0.000000,1.000000,-2000.000000,-4039.699951,18.779999,0.000000,1242.980957,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
