frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,input.DodgeForward,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
38,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4379.390137,18.330000,0.000000,702.800964,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4373.399902,18.330000,0.000000,718.370972,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4367.279785,18.330000,0.000000,733.810974,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4361.040039,18.330000,0.000000,749.110962,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
42,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4354.669922,18.330000,0.000000,764.280945,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
43,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4348.179688,18.330000,0.000000,779.320984,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4341.560059,18.330000,0.000000,794.230957,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4334.819824,18.330000,0.000000,809.020935,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4327.959961,18.330000,0.000000,823.680969,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4320.969727,18.330000,0.000000,838.210938,-0.131000,-0.005975,0.005975,0.707074,0.707089,-0.000810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
48,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4313.859863,18.330000,0.000000,852.620972,-0.131000,-0.005975,0.005980,0.707074,0.707089,-0.000910,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
49,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4306.640137,18.330000,0.000000,866.900940,-0.131000,-0.005980,0.005986,0.707074,0.707089,-0.000910,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
50,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4299.299805,18.330000,0.000000,881.060974,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
51,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4291.839844,18.330000,0.000000,895.100952,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
52,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4284.259766,18.330000,0.000000,909.020935,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
53,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4276.569824,18.330000,0.000000,922.820984,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
54,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4268.770020,18.330000,0.000000,936.500977,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
55,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4260.850098,18.330000,0.000000,950.070984,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
56,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4252.819824,18.330000,0.000000,963.520935,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
57,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4244.679688,18.330000,0.000000,976.850952,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
58,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4236.429688,18.330000,0.000000,990.070984,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
59,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4228.069824,18.330000,0.000000,1003.180969,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
60,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4219.600098,18.330000,0.000000,1016.170959,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
61,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4211.020020,18.330000,0.000000,1029.050903,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
62,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4202.339844,18.330000,0.000000,1041.820923,-0.131000,-0.005986,0.005986,0.707074,0.707088,-0.000810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
