frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
49,0.000000,352.949982,1000.320007,0.000000,1971.450928,0.921000,0.010420,-0.010409,0.706993,0.707067,0.076610,0.000000,0.000000,0.000000,830.969971,998.529968,0.000000,3211.630859,-5.261000,-0.026087,0.000003,0.000003,0.999660,-0.201410,0.000000,0.000000
50,0.000000,369.380005,1000.329956,0.000000,1971.450928,0.921000,0.010641,-0.010630,0.706988,0.707065,0.074710,0.000000,0.000000,0.000000,857.729980,998.489990,0.000000,3210.810791,-5.251000,-0.026923,0.000003,0.000003,0.999637,-0.201410,0.000000,0.000000
51,0.000000,385.809998,1000.339966,0.000000,1971.450928,0.921000,0.010857,-0.010846,0.706983,0.707064,0.072910,0.000000,0.000000,0.000000,884.479980,998.449951,0.000000,3209.990967,-5.241000,-0.027759,0.000003,0.000003,0.999615,-0.201410,0.000000,0.000000
52,0.000000,402.239990,1000.349976,0.000000,1971.450928,0.921000,0.011068,-0.011057,0.706977,0.707063,0.071110,0.000000,0.000000,0.000000,911.219971,998.409973,0.000000,3209.170898,-5.231000,-0.028595,0.000003,0.000003,0.999591,-0.201410,0.000000,0.000000
53,0.000000,418.669983,1000.359985,0.000000,1971.450928,0.921000,0.011273,-0.011262,0.706972,0.707062,0.069410,0.000000,0.000000,0.000000,937.959961,998.369995,0.000000,3208.350830,-5.221000,-0.029431,0.000003,0.000003,0.999567,-0.201410,0.000000,0.000000
54,0.000000,435.099976,1000.369995,0.000000,1971.450928,0.921000,0.011472,-0.011461,0.706967,0.707061,0.067710,0.000000,0.000000,0.000000,964.690002,998.329956,0.000000,3207.531006,-5.211000,-0.030268,0.000003,0.000003,0.999542,-0.201410,0.000000,0.000000
55,0.000000,451.529999,1000.380005,0.000000,1971.450928,0.921000,0.011666,-0.011655,0.706961,0.707060,0.066010,0.000000,0.000000,0.000000,991.409973,998.289978,0.000000,3206.710938,-5.201000,-0.031104,0.000003,0.000003,0.999516,-0.201410,0.000000,0.000000
56,0.000000,467.959991,1000.389954,0.000000,1971.450928,0.921000,0.011855,-0.011844,0.706956,0.707059,0.064410,0.000000,0.000000,0.000000,1018.130005,998.250000,0.000000,3205.890869,-5.191000,-0.031940,0.000003,0.000003,0.999490,-0.201410,0.000000,0.000000
57,0.000000,484.389984,1000.399963,0.000000,1971.450928,0.921000,0.012039,-0.012028,0.706950,0.707058,0.062810,0.000000,0.000000,0.000000,1044.839966,998.209961,0.000000,3205.070801,-5.181000,-0.032776,0.000003,0.000003,0.999463,-0.201410,0.000000,0.000000
58,0.000000,500.819977,1000.409973,0.000000,1971.450928,0.921000,0.012217,-0.012206,0.706945,0.707058,0.061310,0.000000,0.000000,0.000000,1071.539917,998.169983,0.000000,3204.250977,-5.171000,-0.033612,0.000003,0.000003,0.999435,-0.201410,0.000000,0.000000
